DATE,M12MTVUSM227NFWA_POP
1970-12-01,5432.2093891523386000
1971-01-01,5451.2171495548904000
1971-02-01,5458.8422010180579000
1971-03-01,5467.2113316090982000
1971-04-01,5501.0214183951899000
1971-05-01,5523.2654636688218000
1971-06-01,5543.9068359506801000
1971-07-01,5567.8437453349449000
1971-08-01,5589.2409599722918000
1971-09-01,5611.9818945385702000
1971-10-01,5635.5564088411049000
1971-11-01,5658.0326532569346000
1971-12-01,5679.8696943566159000
1972-01-01,5709.1763714776682000
1972-02-01,5744.2468944470753000
1972-03-01,5787.6699233313577000
1972-04-01,5807.3701202563686000
1972-05-01,5837.7579994750531000
1972-06-01,5870.0917868637501000
1972-07-01,5894.5096619278119000
1972-08-01,5924.0937760323694000
1972-09-01,5950.6320204681422000
1972-10-01,5974.9571216130825000
1972-11-01,5994.7924578459669000
1972-12-01,6016.3029299737692000
1973-01-01,6031.5330473730360000
1973-02-01,6048.0153467222433000
1973-03-01,6065.7833697823473000
1973-04-01,6084.1121937375840000
1973-05-01,6097.9028911460130000
1973-06-01,6105.2817998923238000
1973-07-01,6115.1720785809003000
1973-08-01,6131.1789223544500000
1973-09-01,6136.1304636603875000
1973-10-01,6150.7518531591952000
1973-11-01,6163.0360149364636000
1973-12-01,6148.3986183236600000
1974-01-01,6136.4801908590536000
1974-02-01,6103.5696518580399000
1974-03-01,6067.9702266768600000
1974-04-01,6047.1079531873210000
1974-05-01,6030.3822249699082000
1974-06-01,6016.2808981402619000
1974-07-01,6007.8371225228427000
1974-08-01,6000.8923482307211000
1974-09-01,5989.5493964881491000
1974-10-01,5981.4130034366825000
1974-11-01,5979.8159580663949000
1974-12-01,6004.4324012254286000
1975-01-01,6015.6841032703519000
1975-02-01,6034.6127914816451000
1975-03-01,6055.6650154741215000
1975-04-01,6063.1660575891676000
1975-05-01,6079.2258830844040000
1975-06-01,6093.1787846205183000
1975-07-01,6104.0824547512884000
1975-08-01,6107.2133953144152000
1975-09-01,6112.1339414860924000
1975-10-01,6119.0237641225004000
1975-11-01,6122.6409436686642000
1975-12-01,6131.3182532694728000
1976-01-01,6145.6551279393814000
1976-02-01,6174.5554640067388000
1976-03-01,6208.5922872744168000
1976-04-01,6249.8207127358317000
1976-05-01,6275.7195029515125000
1976-06-01,6296.9967089107275000
1976-07-01,6321.3153851445869000
1976-08-01,6342.2030581992641000
1976-09-01,6372.9628273210035000
1976-10-01,6394.2801997768061000
1976-11-01,6416.1739035067677000
1976-12-01,6434.3533967105924000
1977-01-01,6429.2062651987645000
1977-02-01,6442.0955211904588000
1977-03-01,6463.2626284714629000
1977-04-01,6478.4463137961800000
1977-05-01,6498.7833111221283000
1977-06-01,6516.8601110676858000
1977-07-01,6535.2548821961596000
1977-08-01,6548.8256266499741000
1977-09-01,6563.6237584281882000
1977-10-01,6585.1727447216891000
1977-11-01,6603.8967206219557000
1977-12-01,6612.6893896603300000
1978-01-01,6640.8701580751049000
1978-02-01,6657.0800752609090000
1978-03-01,6675.0694344250469000
1978-04-01,6674.6129347586163000
1978-05-01,6694.0038528013827000
1978-06-01,6730.8918557957361000
1978-07-01,6778.6238964889817000
1978-08-01,6830.8386257040910000
1978-09-01,6855.4379452417139000
1978-10-01,6873.5706831608225000
1978-11-01,6890.5211722011661000
1978-12-01,6921.8536236419725000
1979-01-01,6936.0016081120318000
1979-02-01,6941.9289186040803000
1979-03-01,6964.7111289495395000
1979-04-01,6988.7006656626774000
1979-05-01,6973.6190747533744000
1979-06-01,6932.8687128351783000
1979-07-01,6866.9925129412810000
1979-08-01,6817.4216027874564000
1979-09-01,6792.9167756609487000
1979-10-01,6779.4695329072945000
1979-11-01,6771.3237799024010000
1979-12-01,6758.8035872933085000
1980-01-01,6761.9087573029044000
1980-02-01,6745.5880276718904000
1980-03-01,6712.4034049081107000
1980-04-01,6689.2200774241283000
1980-05-01,6678.6724810891921000
1980-06-01,6672.8580093353610000
1980-07-01,6673.0149390056471000
1980-08-01,6660.7721767206398000
1980-09-01,6653.5589387604849000
1980-10-01,6651.1905856394226000
1980-11-01,6645.6922646230294000
1980-12-01,6647.7080501269784000
1981-01-01,6641.3161699506851000
1981-02-01,6648.0261578287954000
1981-03-01,6655.0143091473842000
1981-04-01,6661.8832360518389000
1981-05-01,6670.1165196558859000
1981-06-01,6681.5429946770775000
1981-07-01,6697.3422158058148000
1981-08-01,6711.7560939583904000
1981-09-01,6721.2731975765151000
1981-10-01,6717.2011914620557000
1981-11-01,6717.9298333781009000
1981-12-01,6711.4408045404760000
1982-01-01,6679.3478025757386000
1982-02-01,6665.0988055146058000
1982-03-01,6662.2370069555450000
1982-04-01,6663.1613028556628000
1982-05-01,6684.2357285523858000
1982-06-01,6707.2657677850960000
1982-07-01,6748.7510121108757000
1982-08-01,6785.1518124548177000
1982-09-01,6801.1556369545871000
1982-10-01,6818.7152085767301000
1982-11-01,6823.2221568888336000
1982-12-01,6829.9922799794133000
1983-01-01,6866.7292411345694000
1983-02-01,6880.7742222869454000
1983-03-01,6896.4783637896864000
1983-04-01,6903.9100696805985000
1983-05-01,6914.0140730670907000
1983-06-01,6927.9935758890816000
1983-07-01,6942.1357449841447000
1983-08-01,6954.9383584718189000
1983-09-01,6964.4654262231520000
1983-10-01,6980.7668566709379000
1983-11-01,7003.9306102655289000
1983-12-01,7010.4703806831466000
1984-01-01,7019.1431059753170000
1984-02-01,7038.9254735125909000
1984-03-01,7053.5652911848945000
1984-04-01,7085.0707474166698000
1984-05-01,7111.9185738560042000
1984-06-01,7135.1075542005420000
1984-07-01,7150.0753126745308000
1984-08-01,7174.7375807972133000
1984-09-01,7194.2557864504139000
1984-10-01,7202.7462696644386000
1984-11-01,7212.2542260677436000
1984-12-01,7234.1097945355560000
1985-01-01,7236.1834015530514000
1985-02-01,7240.0316495652393000
1985-03-01,7266.0096242828058000
1985-04-01,7287.3938629676335000
1985-05-01,7305.9216882145887000
1985-06-01,7322.1555378352289000
1985-07-01,7337.8594852096316000
1985-08-01,7350.2360911517142000
1985-09-01,7361.7066697921289000
1985-10-01,7384.2660164859292000
1985-11-01,7393.3232208000602000
1985-12-01,7410.9956279726237000
1986-01-01,7443.0557757951577000
1986-02-01,7455.7442407459923000
1986-03-01,7479.5688706611984000
1986-04-01,7485.4015510591685000
1986-05-01,7495.4239171602066000
1986-06-01,7504.8137104454398000
1986-07-01,7516.4117331737662000
1986-08-01,7528.9220855788154000
1986-09-01,7543.1372060995238000
1986-10-01,7556.7819159959216000
1986-11-01,7579.4870520609441000
1986-12-01,7607.9794718980217000
1987-01-01,7631.4396320682924000
1987-02-01,7678.3821766626710000
1987-03-01,7700.0524622127487000
1987-04-01,7733.8680382411704000
1987-05-01,7758.5955128020031000
1987-06-01,7775.1722944008442000
1987-07-01,7788.1212830101646000
1987-08-01,7795.4545454545455000
1987-09-01,7824.5519543793145000
1987-10-01,7847.7896535576678000
1987-11-01,7873.8461412171286000
1987-12-01,7892.7685196198664000
1988-01-01,7923.9326013091183000
1988-02-01,7942.6250660506040000
1988-03-01,7979.8222524244818000
1988-04-01,8003.0518112458835000
1988-05-01,8039.6222558358203000
1988-06-01,8077.5593735447661000
1988-07-01,8107.1867309332669000
1988-08-01,8129.0001631055293000
1988-09-01,8149.6431248574129000
1988-10-01,8177.2211662521928000
1988-11-01,8200.4807144832523000
1988-12-01,8232.2154306336769000
1989-01-01,8270.7493989213074000
1989-02-01,8285.8087978634456000
1989-03-01,8309.7188983085223000
1989-04-01,8333.7535110509442000
1989-05-01,8354.9731476756336000
1989-06-01,8369.8090759730327000
1989-07-01,8387.1845460940722000
1989-08-01,8418.4139627503807000
1989-09-01,8435.3956161022694000
1989-10-01,8455.5019410078729000
1989-11-01,8475.5136317317878000
1989-12-01,8479.7508038908721000
1990-01-01,8489.0914867348457000
1990-02-01,8510.7966579189557000
1990-03-01,8519.6576871797343000
1990-04-01,8528.5151580788268000
1990-05-01,8537.3910604451746000
1990-06-01,8549.4398616764526000
1990-07-01,8557.7015335902643000
1990-08-01,8558.7308685947476000
1990-09-01,8552.4285047716659000
1990-10-01,8542.2035633342229000
1990-11-01,8539.6624573297367000
1990-12-01,8534.4956403551302000
1991-01-01,8502.9119969510380000
